iter	Passed	Remaining
0	0	87
1	1	74
2	3	102
3	4	118
4	6	117
5	6	109
6	7	102
7	8	95
8	8	89
9	9	84
10	9	80
11	10	77
12	11	74
13	11	72
14	12	70
15	12	68
16	13	66
17	14	64
18	14	63
19	15	62
20	16	62
21	17	63
22	18	61
23	19	60
24	19	58
25	20	57
26	20	56
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	30	46
40	32	46
41	32	45
42	33	44
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	53	18
74	54	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
